Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2019,2019,ha,18121,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2019,2019,100 g/ha,283473,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2019,2019,t,513670.79,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2020,2020,ha,22109,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2020,2020,100 g/ha,297726,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2020,2020,t,658234.11,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2021,2021,ha,13753,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2021,2021,100 g/ha,272086,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2021,2021,t,374207.49,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2022,2022,ha,16114,I,Imputed value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2022,2022,100 g/ha,269820,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2022,2022,t,434797.16,I,Imputed value,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1706,"Cow peas, dry",1961,1961,ha,427000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1706,"Cow peas, dry",1961,1961,100 g/ha,1171,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1706,"Cow peas, dry",1961,1961,t,50000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1706,"Cow peas, dry",1962,1962,ha,475000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1706,"Cow peas, dry",1962,1962,100 g/ha,1547,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1706,"Cow peas, dry",1962,1962,t,73500,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1706,"Cow peas, dry",1963,1963,ha,506000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1706,"Cow peas, dry",1963,1963,100 g/ha,1581,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1706,"Cow peas, dry",1963,1963,t,80000,A,Official figure,
